Titular,Categoria,predicted_categoria
¿como estan saliendo los lecheros de colombia de la crisis que se agudizo hace unos meses?,Economia/sectores,Negocios/empresas
¿como estan saliendo los lecheros de colombia de la crisis que se agudizo hace unos meses?,Economia/sectores,Negocios/empresas
¿cuanto subiria el salario minimo del 2025? esta es la propuesta del centro de estudios economicos anif,Economia/sectores,Economia/sectores
"¿que debe pasar con el ministro de hacienda, ricardo bonilla?",Foros el tiempo,Foros el tiempo
La representante karen manrique guardo silencio en la indagatoria en la corte por el escandalo de corrupcion de la ungrd,Justicia/cortes,Justicia/cortes
La comprometedora acusacion de olmedo lopez contra el exministro luis fernando velasco y un senador por supuestas dadivas a congresistas,Justicia/investigacion,Justicia/investigacion
"Por exigirle plata a un extraditable, la procuraduria sanciono por 17 anos en cargos publicos a exdirector de la carcel la picota",Justicia/investigacion,Politica/partidos politicos
"Camilo, el nino que enciende la navidad desde chiquinquira para colombia",Mas contenido,Mas contenido
"Camilo, el nino que enciende la navidad desde chiquinquira para colombia",Mas contenido,Mas contenido
Cap 3. tacos y quesadillas para el barrio. caza cocinas 2,Mas contenido,Mas contenido
Curso gratuito para formar a futuros lideres en tecnologia blockchain,Mas contenido,Mas contenido
Maria corina machado denuncia nuevo hostigamiento del sebin frente a la casa de su madre,Mundo/latinoamerica,Bogota
El ejercito de siria afirma que se prepara para una contraofensiva tras un ataque de milicias islamistas contra varias ciudades,Mundo/medio oriente,Mundo/medio oriente
La sorprendente vida social de las pitones,Mundo/new york times international weekly,Mundo/new york times international weekly
Las tarifas de los hoteles en nueva york alcanzan niveles record a medida que se acercan las vacaciones,Mundo/new york times international weekly,Mundo/new york times international weekly
Una iglesia en el desierto egipcio revela practicas funerarias cristianas primitivas,Mundo/new york times international weekly,Mundo/new york times international weekly
Lo que sera noticia en colombia y el mundo del 2 al 8 de diciembre,Podcast/el cafe de hoy,Vida/medio ambiente
Lo que sera noticia en colombia y el mundo del 2 al 8 de diciembre,Podcast/el cafe de hoy,Vida/medio ambiente
Avanza reforma al sistema general de participaciones: camara aprobo ponencia positiva con 103 votos,Politica/congreso,Economia/gobierno
Avanza reforma al sistema general de participaciones: camara aprobo ponencia positiva con 103 votos,Politica/congreso,Economia/gobierno
"El voto de la mujer en colombia, una lucha que llega a la pantalla grande",Politica/partidos politicos,Politica/partidos politicos
"Apuestas en linea | los riesgos de tener un ‘casino en el bolsillo’, una alerta de salud publica",Salud,Contenido patrocinado
Cancer de mama en colombia viene en aumento: ¿cual es el panorama de esta enfermedad; como prevenirla y detectarla de manera temprana?,Salud,Tendencias/sociales
"BYD Sealion 7, la camioneta eléctrica de 522HP que debutó en el Salón de Bogotá",Sin categoría,Sin categoría
Capturan a experto en extorsión que engañaba a víctimas simulando emergencias familiares,Sin categoría,Sin categoría
Expertos de la UNAL analizan el bien común aplicado a la realidad colombiana,Sin categoría,Sin categoría
Jorge Barón nos contó como nacen sus icónicas frases,Sin categoría,Sin categoría
"Kia K4 GT line, el nuevo carro para el mercado local",Sin categoría,Sin categoría
La marca JMC presentó su nueva línea de pick up y la primera eléctrica en el país,Sin categoría,Sin categoría
Llegó a Colombia la nueva Hyundai Tucson en modo híbrido,Sin categoría,Sin categoría
Prohibir redes a ninos: un primer paso / analisis del editor multimedia,Tecnosfera/novedades tecnologia,Economia/infraestructura
