Titular,Categoria,predicted_categoria
Black friday y cyber monday: ¿como cuidar las finanzas en estas fechas?,Mis finanzas/ahorro,Mis finanzas/ahorro
Renta ciudadana: ¿cual es el link para saber si tiene una transferencia?,Mis finanzas/ahorro,Economia/finanzas
Tarifas especiales de black friday en wingo: ofrecen vuelos desde 89.900 pesos,Mis finanzas/ahorro,Mis finanzas/ahorro
¿que es bico del banco agrario y como funciona?,Mis finanzas/ahorro,Economia/finanzas
¿cuanto dinero puede prestarle banco agrario para vivienda?,Mis finanzas/creditos,Mis finanzas/creditos
Cabify logistics en colombia proyecta crecimiento del 78% en el cuarto trimestre,Negocios/empresas,Economia/gobierno
Colombia trabaja para tener ruta aerea 'directa' con china: las posibilidades que hay,Negocios/empresas,Cultura/gente
Eps sanitas inicia tercera fase de cambio de proveedores farmaceuticos,Negocios/empresas,Negocios/empresas
Esta es la cadena de 'indoor cycling' que llego a bogota,Negocios/empresas,Negocios/empresas
Lo que espera vender maizena con su nueva natilla sabor a cocada copelia,Negocios/empresas,Negocios/empresas
Los planes de cementos argos tras vender su participacion en summit materials,Negocios/empresas,Negocios/empresas
Los restaurantes colombianos que quedaron entre los mejores 100 del a. latina este 2024,Negocios/empresas,Negocios/empresas
"Optimista para 2025, pepsi impulsa su bebida sin azucar",Negocios/empresas,Negocios/empresas
¿que hace unico al cafe colombiano? una empresa experta lo responde,Negocios/industrias,Negocios/industrias
California dice ‘no’ a trump y sigue el incentivo a vehiculos electricos,Negocios/vehiculo,Mundo/new york times international weekly
"Bancaseguros, para reducir brechas",Opinion/analisis,Sin categoría
"Bancaseguros, para reducir brechas",Opinion/analisis,Sin categoría
Dinamita fiscal,Opinion/analisis,Opinion/analisis
El ‘boom’ del aguacate,Opinion/analisis,Opinion/analisis
Falto ‘tijera’,Opinion/editorial,Opinion/editorial
Senal de retroceso,Opinion/editorial,Opinion/editorial
Última palabra,Opinion/editorial,Sin categoría
Sin titular,Sin categoría,Sin categoría
Sin titular,Sin categoría,Sin categoría
Sin titular,Sin categoría,Sin categoría
Bienestar familiar alerta sobre una estafa a traves de whatsapp: lo que debe saber,Tecnologia,Tecnologia
El sena lanzo un curso sobre criptomonedas: lo que debe saber para inscribirse,Tecnologia,Tecnologia
"Huawei presenta su nuevo celular mate 70, el primero con nuevo sistema operativo",Tecnologia,Sin categoría
"Regiones urbanas, las mas expuestas a la ia, pero las que mas partido pueden sacar",Tecnologia,Tecnologia
Personajes historicos mas populares de america latina: este es el colombiano mas famoso,Tendencias/sociales,Tendencias/sociales
